"","app_id","disp_income","occ_code","cust_age","time_emp","res_indicator","I_01","I_02","I_03","I_04","D_01","ER_01","ER_02","I_05","D_02","I_06","P_01","S_01","CA_03","CA_02","CA_01","S_02"
"11947",6030,0,"SO",17,0,"P",1.306,339.833333333333,33.874,1,37.44,3,0.0300000000000001,6,246.565,0,65.703125,1.05,0,-5.75823833059985e-13,5,-1
"11948",-6125,0,"SO",19,1,"P",1,200,2,1,20,20,0,7,56.17,0.1324462513,55.5703125,1.04,1,0,3,-1
"11949",6049,0,"SA",23,0,"P",1.16,1950,25,1,49.08,3,3,10,972.1,0.1233891235,89.125,1.01,1,0,3,-1
"11950",-6143,0,"SO",19,1,"P",1.18,411,12.5875,1.1,6.23,5,2,10,149.92,0.0979375124,64.484375,1.07,0,0.0699999999993904,5,-1
"11951",6092,1,"SB",18,1,"P",1,628.333333333333,6,1,0,18,0,10,184.7425,0,71.78125,2,1,0,3,0
"11952",-6114,1,"SC",18,1,"P",1.23,254.5,33.1235,1,41.52,12,0,13,259.43,0.3288590778,55.46875,1.04,0,-5.60476109967567e-13,5,-1
"11953",6120,0,"SB",18,1,"H",1.19,1281.66666666667,9,2,28.32,2,2,14,883.1,0.0970755275,81.25,1.01,1,0,3,-1
"11954",6046,0,"SO",19,1,"P",1,439.5,5,2,4.915,17,0,16,96.335,0.0426470119,52.9765625,1,2,0,3,2
"11955",-6031,660,"SG",22,1,"P",1.29,2009,8,3,0,2,1,17,1168.28,0,59.8671875,1,3,1492,1,3
"11956",6055,0,"SC",19,1,"P",1,162,2,1,36,7,1,17,68.1425,0.1260659751,70.078125,1.04,1,0,3,-1
"11957",5983,0,"SK",18,0,"P",1,152.5,3,1,31.45,14,0,17,242.73,0.1090147677,49.765625,1.01,1,0,3,-1
"11958",-6041,0,"SC",18,1,"P",1.24,230.35119047619,15.12,1,49.94,3,0,19,218.35,0.276775633,32.1015625,1.11,0,-5.62465629627695e-13,5,-1
"11959",6012,0,"SA",20,1,"P",1.2,750,6,2,24,16,0,21,0,0.1474688272,70.125,1.06,1,0,3,-1
"11960",6158,0,"SM",19,0,"P",1.17,706.833333333333,14,2,8.98,18,1,21,196.445,0.081042442,72,1,2,6,3,-1
"11961",6104,1,"SE",19,1,"P",1.15,300,7,1,0,15,1,22,201.843333333333,0,94.96875,1.19666666666667,1,0,3,3
"11962",-6038,0,"SE",19,1,"P",1.13,788.5,9,3,16.59,23,1.29,22,358.7,0,62.3359375,1,3,0,3,-1
"11963",-6084,180,"SO",19,1,"P",2,454,6,1.35,0,9,1,26,139.52,0,29.0703125,1,0,49.59,5,2
"11964",6021,0,"SF",18,0,"P",1.11,723,15,1,12.23,20,2,26,255.71,0.1201700976,64.5,2,1,0,3,0
"11965",6045,0,"SA",18,1,"P",1,280.375,2,1,25,15,0,26,32.23,0,76.671875,1,1,0,3,1
"11966",6080,0,"SN",18,1,"P",1,725,1,1.075,0,10,0.32,29,252.915,0.0288094972,68.484375,1,0,9.62999999999991,5,1
